variant,seed,partition,molecule_id,reference_objective,reference_bond_objective,reference_angle_objective,reference_gradient_rms,reference_projected_movement,reference_projected_objective,source_objective,source_bond_objective,source_angle_objective,source_gradient_rms,source_projected_movement,source_projected_objective,source_minus_reference_objective
B,173,dev_b,CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1,-2.8452867311832275,-3.27201429249187,-2.4185591698745856,0.597891738717188,0.0010000000000000106,-2.8800070234318853,-2.612774122840161,-2.930215333012205,-2.2953329126681177,1.2198162687817509,0.0010000000000000117,-2.687258774534203,0.23251260834306642
B,173,dev_b,CC(C)[C@@H]1C=C(C(=O)O)O[C@H](OCCCCO)C1,-2.738798684379724,-3.268447951786346,-2.2091494169731023,0.922267525234589,0.0009999999999999924,-2.771243310722335,-2.089961601110509,-2.5198644826592673,-1.6600587195617509,2.584996248369905,0.001000000000000015,-2.1877905046645307,0.648837083269215
B,173,dev_b,O=C(CN1C(=O)c2cccc([N+](=O)[O-])c2C1=O)N1CCN(c2ccc(F)cc2)CC1,-2.2709354534117683,-3.308032217204983,-1.2338386896185538,1.2032263699542711,0.0009999999999999818,-2.3213405491683643,-1.9510912302293093,-2.883796443818145,-1.0183860166404735,2.1154923672984616,0.0009999999999999985,-2.044187908722657,0.319844223182459
B,173,dev_b,O=C(NC1CCCCC1)c1cc(-c2ccccn2)nc2ccccc12,-2.8707080575356505,-3.311074285023687,-2.430341830047614,1.1497362455321563,0.0010000000000000278,-2.9170181349522797,-2.67989302960601,-2.9704746189453104,-2.38931144026671,1.9542103995785318,0.0010000000000000284,-2.762746160837699,0.19081502792964056
B,173,dev_b,Cn1cccc1Cc1nnc(SCC(=O)Nc2nc3ccccc3s2)n1CCc1ccccc1,-2.7211902151114096,-3.1979590052030824,-2.2444214250197363,0.42851107182615117,0.0009999999999999911,-2.742700588840246,-2.488730921669087,-2.8444561211850776,-2.1330057221530963,1.306708106162263,0.0010000000000000239,-2.558614371156674,0.2324592934423224
B,173,dev_b,CN=C1SC(CC(=O)Nc2ccc(N3CCOCC3)cc2)C(=O)N1C,-2.785589873832498,-3.302294125098561,-2.2688856225664344,0.7635640302790763,0.000999999999999999,-2.8171244337639356,-2.460803493120647,-2.977604310838705,-1.9440026754025883,1.6832444269979219,0.0009999999999999807,-2.5339646596894685,0.32478638071185095
B,173,dev_b,N#CCOc1ccc2oc(-c3ccco3)cc(=O)c2c1,-1.8162156449084605,-3.360909722815554,-0.27152156700136687,2.3350835240646055,0.0009999999999999946,-1.87880310257223,-1.4438995921863538,-2.8691760288992345,-0.01862315547347313,3.7774703417022857,0.0010000000000000018,-1.5469822182686095,0.37231605272210677
B,173,dev_b,CCOC(=O)CSc1ccc2nnc(CCNS(=O)(=O)c3ccc(C)cc3)n2n1,-2.4356234509896315,-2.999178157445427,-1.8720687445338358,1.3557672049198497,0.0010000000000000059,-2.496457596213223,-2.1064966669504885,-2.5207126743684105,-1.6922806595325666,2.100729847381727,0.0009999999999999944,-2.204816042069813,0.32912678403914297
B,173,dev_b,O=C(_C=C_c1ccc(OCCCF)cc1)Nc1ccnc(-c2ccncc2)n1,-2.699281889003374,-3.1233804797746703,-2.2751832982320783,1.0420127262094905,0.0010000000000000037,-2.7431830868596414,-2.5445871855070026,-2.9553837506841294,-2.1337906203298758,1.4478956767094477,0.0010000000000000466,-2.6078148280264837,0.1546947034963715
B,173,dev_b,CC(C)C(NC(=O)OCc1ccccc1)C(=O)OCC(=O)N1CCCCC1,-2.9294272851247287,-3.3725527172594685,-2.4863018529899885,0.41861609450487114,0.0010000000000000022,-2.947748402332566,-2.4698901014108126,-2.7885840266042634,-2.151196176217362,1.6632299894264442,0.0010000000000000054,-2.5554552238920833,0.45953718371391616
B,173,dev_b,CCCn1nc(C(=O)NCC(C)(C)N2CCOCC2)c2ccccc2c1=O,-2.77409022496218,-3.323961488178808,-2.224218961745552,0.5754762050259801,0.0009999999999999979,-2.80102415944135,-2.569407658649207,-3.080111060348091,-2.0587042569503238,1.2633770191764164,0.0009999999999999892,-2.6331525656688597,0.204682566312973
B,173,dev_b,CCN1CCN(Cc2nnc(-c3ccc(C)cc3)o2)CC1,-2.9575451830545134,-3.3885788855682275,-2.526511480540799,0.6053737261308734,0.0010000000000000297,-2.979831571178962,-2.8095366641531325,-3.174931830740282,-2.444141497565983,1.4158026692385535,0.0009999999999999937,-2.8648676399016404,0.1480085189013809
B,173,dev_b,COc1cccc(Nc2nc(-c3cccs3)nc3ccccc23)c1,-2.6860097843150275,-3.2330972647993033,-2.138922303830752,1.2787654342992483,0.0009999999999999892,-2.730354911299803,-2.608991589519441,-3.052273480838144,-2.1657096982007373,1.8129713310735662,0.001000000000000023,-2.673503599701684,0.07701819479558658
