method,baseline,metric,effect_candidate_minus_baseline,ci95_low,ci95_high,molecule_win,molecule_tie,molecule_loss,resampling_unit,records_per_cluster
bond_only_seed307,unrestricted_seed307,raw_source_displacement_rms,-2.3337604850531013e-05,-2.5788527952972855e-05,-2.1867267088965293e-05,2497,0,3,molecule,2
bond_only_seed307,unrestricted_seed307,reference_rmsd,0.00011674942166509519,0.0001082712926422823,0.0001261091268324031,396,0,2104,molecule,2
bond_only_seed331,unrestricted_seed331,validity3d,-0.0096,-0.0174,-0.0019950000000000727,196,2152,152,molecule,2
bond_only_seed331,unrestricted_seed331,PB,-0.0002,-0.0006,0.0,1,2499,0,molecule,2
bond_only_seed331,unrestricted_seed331,internal_post_objective,0.05918807179181953,0.02362662438773742,0.1230827335577072,1056,0,1444,molecule,2
bond_only_seed331,unrestricted_seed331,direction_improvement,-0.059188071791819515,-0.12376565733410078,-0.023469958672781583,1444,0,1056,molecule,2
bond_only_seed331,unrestricted_seed331,bond_raw_mae,-0.0002641946170741953,-0.0002874234790919752,-0.00023690977285401876,1894,0,606,molecule,2
bond_only_seed331,unrestricted_seed331,angle_cosine_raw_mae,0.0008078091571185309,0.0007758995225558967,0.0008400883778749139,261,0,2239,molecule,2
bond_only_seed331,unrestricted_seed331,raw_source_displacement_rms,-2.9946144390851347e-05,-3.0897530247457364e-05,-2.9099151790143013e-05,2499,0,1,molecule,2
bond_only_seed331,unrestricted_seed331,reference_rmsd,0.00012987347346701288,0.00012138401051407831,0.0001382767479074399,446,0,2054,molecule,2
bond_only_seed353,unrestricted_seed353,validity3d,-0.0116,-0.0198,-0.0034,214,2125,161,molecule,2
bond_only_seed353,unrestricted_seed353,PB,0.0,-0.0006,0.0006,1,2498,1,molecule,2
bond_only_seed353,unrestricted_seed353,internal_post_objective,0.0541397010214002,0.046778536945685144,0.061465261092721865,875,0,1625,molecule,2
bond_only_seed353,unrestricted_seed353,direction_improvement,-0.054139701021400186,-0.06151483760553122,-0.046567354450589925,1625,0,875,molecule,2
bond_only_seed353,unrestricted_seed353,bond_raw_mae,-0.00019809627939366612,-0.00021790203807505745,-0.00017854571626374719,1651,0,849,molecule,2
bond_only_seed353,unrestricted_seed353,angle_cosine_raw_mae,0.0009299357650943808,0.0008973740604748356,0.0009625915979554995,226,0,2274,molecule,2
bond_only_seed353,unrestricted_seed353,raw_source_displacement_rms,-3.483109315857271e-05,-3.6127077066338643e-05,-3.3736784784122714e-05,2498,0,2,molecule,2
bond_only_seed353,unrestricted_seed353,reference_rmsd,0.00011640796146256816,0.00010747356997094813,0.00012448454838276792,563,0,1937,molecule,2
angle_only_seed307,unrestricted_seed307,validity3d,-0.2098,-0.2242,-0.1954,910,1491,99,molecule,2
angle_only_seed307,unrestricted_seed307,PB,-0.0006,-0.0016,0.0004,5,2493,2,molecule,2
angle_only_seed307,unrestricted_seed307,internal_post_objective,0.869413072662649,0.8271216488365728,0.916927745581921,62,0,2438,molecule,2
angle_only_seed307,unrestricted_seed307,direction_improvement,-0.869413072662649,-0.9164978775427725,-0.826620697477678,2438,0,62,molecule,2
angle_only_seed307,unrestricted_seed307,bond_raw_mae,0.0027161079769552677,0.0026489988321940056,0.0027853396944840653,36,0,2464,molecule,2
angle_only_seed307,unrestricted_seed307,angle_cosine_raw_mae,-0.0004148420505679395,-0.0004609355934989201,-0.0003689730017825402,1576,0,924,molecule,2
angle_only_seed307,unrestricted_seed307,raw_source_displacement_rms,-8.747053435072362e-05,-8.92972674081106e-05,-8.593249890254925e-05,2500,0,0,molecule,2
angle_only_seed307,unrestricted_seed307,reference_rmsd,-0.0006073778196444502,-0.0006276961067422699,-0.0005872503299787954,2314,0,186,molecule,2
angle_only_seed331,unrestricted_seed331,validity3d,-0.1982,-0.2124,-0.1842,879,1515,106,molecule,2
angle_only_seed331,unrestricted_seed331,PB,-0.0002,-0.001,0.0006,3,2495,2,molecule,2
angle_only_seed331,unrestricted_seed331,internal_post_objective,0.9135422760164374,0.8697030099184289,0.9672405834123347,59,0,2441,molecule,2
angle_only_seed331,unrestricted_seed331,direction_improvement,-0.9135422760164374,-0.966243351181756,-0.8691702340654464,2441,0,59,molecule,2
angle_only_seed331,unrestricted_seed331,bond_raw_mae,0.002877537438106985,0.0028094738457795036,0.002946543178188924,27,0,2473,molecule,2
angle_only_seed331,unrestricted_seed331,angle_cosine_raw_mae,-0.0004170832040134588,-0.00046228415603101594,-0.0003728148808804487,1600,0,900,molecule,2
angle_only_seed331,unrestricted_seed331,raw_source_displacement_rms,-9.019102454185515e-05,-9.160624350653936e-05,-8.879207768943174e-05,2500,0,0,molecule,2
angle_only_seed331,unrestricted_seed331,reference_rmsd,-0.0005503304910742752,-0.000570035222780443,-0.0005310417834605724,2251,0,249,molecule,2
angle_only_seed353,unrestricted_seed353,validity3d,-0.2134,-0.2274,-0.1992,921,1489,90,molecule,2
angle_only_seed353,unrestricted_seed353,PB,-0.0006,-0.0016,0.0002,4,2495,1,molecule,2
angle_only_seed353,unrestricted_seed353,internal_post_objective,0.7863999430067535,0.7424528109747275,0.8387589876590053,83,0,2417,molecule,2
angle_only_seed353,unrestricted_seed353,direction_improvement,-0.7863999430067535,-0.8395603413734123,-0.7426228888628822,2417,0,83,molecule,2
angle_only_seed353,unrestricted_seed353,bond_raw_mae,0.002382808599848482,0.002316586123835682,0.002451436462556065,75,0,2425,molecule,2
angle_only_seed353,unrestricted_seed353,angle_cosine_raw_mae,-0.00041727371002419977,-0.0004582504172181273,-0.0003777024811885218,1629,0,871,molecule,2
angle_only_seed353,unrestricted_seed353,raw_source_displacement_rms,-8.314287215471248e-05,-8.495734548894753e-05,-8.145434219622975e-05,2498,0,2,molecule,2
angle_only_seed353,unrestricted_seed353,reference_rmsd,-0.0003589287999829394,-0.000375762203866352,-0.0003420318436211671,2070,0,430,molecule,2
fixed_tau_seed307,unrestricted_seed307,validity3d,-0.1118,-0.1234,-0.1006,570,1833,97,molecule,2
fixed_tau_seed307,unrestricted_seed307,PB,0.0,-0.0008,0.0008,2,2496,2,molecule,2
fixed_tau_seed307,unrestricted_seed307,internal_post_objective,0.4807330950903831,0.3789858118140735,0.5506881838798082,79,0,2421,molecule,2
fixed_tau_seed307,unrestricted_seed307,direction_improvement,-0.4807330950903831,-0.5500383879461774,-0.38073554606114013,2421,0,79,molecule,2
fixed_tau_seed307,unrestricted_seed307,bond_raw_mae,0.001396952581810948,0.0013455827975085797,0.00144952966589001,112,0,2388,molecule,2
fixed_tau_seed307,unrestricted_seed307,angle_cosine_raw_mae,0.00045146227063745317,0.00041756334572682307,0.00048374364518817325,612,0,1888,molecule,2
fixed_tau_seed307,unrestricted_seed307,raw_source_displacement_rms,-0.005134363219887019,-0.005285942519318778,-0.005001491400117521,2500,0,0,molecule,2
fixed_tau_seed307,unrestricted_seed307,reference_rmsd,-0.0003358194103204325,-0.0003535481834893109,-0.0003202600132312583,2385,0,115,molecule,2
fixed_tau_seed331,unrestricted_seed331,validity3d,-0.111,-0.1228,-0.09939500000000008,574,1815,111,molecule,2
fixed_tau_seed331,unrestricted_seed331,PB,-0.0006,-0.0014,0.0,3,2497,0,molecule,2
fixed_tau_seed331,unrestricted_seed331,internal_post_objective,0.550841666803861,0.5110662757767348,0.6009379662222858,108,0,2392,molecule,2
fixed_tau_seed331,unrestricted_seed331,direction_improvement,-0.5508416668038609,-0.5995886484310656,-0.510930601955436,2392,0,108,molecule,2
fixed_tau_seed331,unrestricted_seed331,bond_raw_mae,0.0014385793601264416,0.0013859800532886797,0.0014932338887345892,149,0,2351,molecule,2
fixed_tau_seed331,unrestricted_seed331,angle_cosine_raw_mae,0.0005195504526484628,0.0004872637119591632,0.000552067566801039,617,0,1883,molecule,2
fixed_tau_seed331,unrestricted_seed331,raw_source_displacement_rms,-0.005639965018257499,-0.0057587636178894905,-0.005528321799009573,2500,0,0,molecule,2
fixed_tau_seed331,unrestricted_seed331,reference_rmsd,-0.0003290088389330532,-0.00034864219910404296,-0.00031279993287834163,2371,0,129,molecule,2
fixed_tau_seed353,unrestricted_seed353,validity3d,-0.1098,-0.1216,-0.09839500000000008,580,1805,115,molecule,2
fixed_tau_seed353,unrestricted_seed353,PB,-0.0004,-0.001,0.0,2,2498,0,molecule,2
fixed_tau_seed353,unrestricted_seed353,internal_post_objective,0.5093423702055219,0.47160147986513046,0.5558565078857983,127,0,2373,molecule,2
fixed_tau_seed353,unrestricted_seed353,direction_improvement,-0.5093423702055219,-0.5572925975975588,-0.4717318801859668,2373,0,127,molecule,2
fixed_tau_seed353,unrestricted_seed353,bond_raw_mae,0.0012663821523324658,0.001217628263691325,0.00131834591986746,197,0,2303,molecule,2
fixed_tau_seed353,unrestricted_seed353,angle_cosine_raw_mae,0.0005784561869121617,0.0005458860773642167,0.0006107164205434403,565,0,1935,molecule,2
fixed_tau_seed353,unrestricted_seed353,raw_source_displacement_rms,-0.005464282318390906,-0.005574421652362217,-0.005358453032753896,2500,0,0,molecule,2
fixed_tau_seed353,unrestricted_seed353,reference_rmsd,-0.00019906132153828647,-0.00021405237561464996,-0.00018648928908505946,2162,0,338,molecule,2
