split,molecule_id,sample_id,source_type,flexibility_group,rotatable_bond_count,input_to_target_aligned_RMSD,aligned_rms_displacement,mean_atom_displacement,max_atom_displacement,torsion_circular_change,max_rotatable_torsion_change,bond_validity_gain,angle_validity_gain,ring_validity_gain,clash_validity_gain,total_validity_gain,energy_drop,optimization_iterations,optimizer_status_code,convergence_status,acceptance_status,acceptance_reason,stop_reason,target_source,force_field_method,force_field_supported,small_gain_large_displacement
train,Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,train::Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1__gen0001,upstream_etflow_formal,low,2,0.14853070676326752,0.14853070676326752,0.13729524612426758,0.25690773129463196,0.14063063263893127,0.20369982719421387,0.016195133328437805,0.020475449040532112,0.020546359941363335,0.0,0.05721694231033325,10.554369003258152,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,train::Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1__gen0002,upstream_etflow_formal,low,2,0.1406869739294052,0.1406869739294052,0.12339644134044647,0.2823547124862671,0.08591984957456589,0.12112592160701752,0.01613660156726837,0.019207678735256195,0.01928918994963169,0.0,0.05463347025215626,10.926656059921932,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2ccc(_C=N_Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)o2)cc1,train::Brc1ccc(-c2ccc(_C=N_Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)o2)cc1__gen0000,upstream_etflow_formal,high,6,0.13481315970420837,0.13481315970420837,0.12084897607564926,0.26638323068618774,0.08787098526954651,0.11794924736022949,0.014109228737652302,0.025257352739572525,0.015742244198918343,0.0,0.05510882567614317,15.244851497927662,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2ccc(_C=N_Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)o2)cc1,train::Brc1ccc(-c2ccc(_C=N_Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)o2)cc1__gen0001,upstream_etflow_formal,high,6,0.14048585295677185,0.14048585295677185,0.12748770415782928,0.2801480293273926,0.047143056988716125,0.12932205200195312,0.014036579057574272,0.023677829653024673,0.014403281733393669,0.0,0.052117690443992615,16.34154502543533,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2ccc(_C=N_Nc3nncc(-c4ccccc4)n3)o2)cc1,train::Brc1ccc(-c2ccc(_C=N_Nc3nncc(-c4ccccc4)n3)o2)cc1__gen0002,upstream_etflow_formal,medium,5,0.09609873592853546,0.09609873592853546,0.08608649671077728,0.26466673612594604,0.09578554332256317,0.16536229848861694,0.013901320286095142,0.017612386494874954,0.013689497485756874,0.0,0.04520320426672697,9.576249303208186,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2ccc(_C=N_Nc3nncc(-c4ccccc4)n3)o2)cc1,train::Brc1ccc(-c2ccc(_C=N_Nc3nncc(-c4ccccc4)n3)o2)cc1__gen0001,upstream_etflow_formal,medium,5,0.10631973296403885,0.10631973296403885,0.10007738322019577,0.21336905658245087,0.016529394313693047,0.03263632953166962,0.016615193337202072,0.018588924780488014,0.017377573996782303,0.0,0.05258169211447239,10.641078088696943,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2ccc(C[NH2+]Cc3ccccn3)o2)cc1,train::Brc1ccc(-c2ccc(C[NH2+]Cc3ccccn3)o2)cc1__gen0001,upstream_etflow_formal,medium,5,0.16864295303821564,0.16864295303821564,0.15590262413024902,0.2652950882911682,0.08781556785106659,0.15857446193695068,0.010931250639259815,0.018085507676005363,0.012279033660888672,0.0,0.04129579197615385,9.798946272868747,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2ccc(C[NH2+]Cc3ccccn3)o2)cc1,train::Brc1ccc(-c2ccc(C[NH2+]Cc3ccccn3)o2)cc1__gen0002,upstream_etflow_formal,medium,5,0.10845057666301727,0.10845057666301727,0.09152133762836456,0.26280665397644043,0.08498398959636688,0.19726409018039703,0.011765877716243267,0.01582956127822399,0.01098436489701271,0.0,0.03857980389147997,5.6032132775872725,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2cn3cccnc3n2)cc1,train::Brc1ccc(-c2cn3cccnc3n2)cc1__gen0002,upstream_etflow_formal,low,1,0.0774393081665039,0.0774393081665039,0.06968056410551071,0.16332237422466278,0.024019496515393257,0.024019496515393257,0.019249700009822845,0.02625640109181404,0.022442594170570374,0.0,0.06794869527220726,8.680159688825832,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2cn3cccnc3n2)cc1,train::Brc1ccc(-c2cn3cccnc3n2)cc1__gen0001,upstream_etflow_formal,low,1,0.07769053429365158,0.07769053429365158,0.06973499059677124,0.16066579520702362,0.01282429788261652,0.01282429788261652,0.016730844974517822,0.0220432598143816,0.021259456872940063,0.0,0.060033561661839485,7.365683677075374,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
