molecule_id,sample_id,source,severity,target_residual_rms,target_residual_max,correction_rms,correction_max_atom,raw_atom_mean,raw_atom_p95,raw_atom_max,raw_graph_rms,clipped_atom_mean,clipped_atom_p95,clipped_atom_max,clipped_graph_rms,atom_clipped_fraction,graph_clipped_fraction,accepted,status,bond_count,rank,condition,linear_residual_norm,relative_linear_residual,translation_norm
C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s2_u0.350,Cartesian_teacher_100k,medium,0.029097302935714005,0.06683075673653605,0.02484065480530262,0.04091162979602814,0.023110520094633102,0.036967407912015915,0.04091162979602814,0.02484065294265747,0.023110520094633102,0.036967407912015915,0.04091162979602814,0.02484065294265747,0.0,0.0,True,SOLVED,65,65,9.247611444108342,2.2282260920204457e-05,9.498386587207701e-05,1.4040299769354354e-19
C=CCc1cccc2cc(C(=O)N3CCN(C(=O)c4ccccc4)CC3)c(=O)oc12,val::C=CCc1cccc2cc(C(=O)N3CCN(C(=O)c4ccccc4)CC3)c(=O)oc12__gen0000,ETFlow_formal_upstream,normal,0.009453452347065966,0.03825468309865987,0.006408884655684233,0.02129671908915043,0.004041941370815039,0.011511865071952343,0.02129671908915043,0.006408884655684233,0.004041941370815039,0.011511865071952343,0.02129671908915043,0.006408884655684233,0.0,0.0,True,SOLVED,55,55,10.754534163846944,3.325530491257417e-06,4.7433934556594714e-05,6.241097026825758e-20
C=CCc1ccccc1OCC(O)CN1CC[NH+](c2ccccc2F)CC1,val::C=CCc1ccccc1OCC(O)CN1CC[NH+](c2ccccc2F)CC1__gen0000,ETFlow_formal_upstream,normal,0.002287874018527216,0.006788599067973244,0.0015636293683201075,0.0038017507176846266,0.0010057073086500168,0.0032120035029947758,0.0038017507176846266,0.0015636296011507511,0.0010057073086500168,0.0032120035029947758,0.0038017507176846266,0.0015636296011507511,0.0,0.0,True,SOLVED,57,57,8.813899908906176,8.26215608398379e-07,4.7832585989166694e-05,1.182766006347823e-20
C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21,val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.018375887595786986,0.058424063145989136,0.013691924512386322,0.0364699549973011,0.010975135490298271,0.023851247504353523,0.0364699549973011,0.013691924512386322,0.010975135490298271,0.023851247504353523,0.0364699549973011,0.013691924512386322,0.0,0.0,True,SOLVED,53,53,11.709198437933749,8.613501083476102e-06,6.438629754516901e-05,1.9626155733547189e-19
C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21,val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s2_u0.350,Cartesian_teacher_100k,mild,0.0018816513212526172,0.0034104301748032473,0.0013701347634196281,0.002257855609059334,0.0012795288348570466,0.0019259117543697357,0.002257855609059334,0.0013701349962502718,0.0012795288348570466,0.0019259117543697357,0.002257855609059334,0.0013701349962502718,0.0,0.0,True,SOLVED,53,53,11.902218406327208,8.245468368581321e-07,6.019192675800492e-05,8.673617379884036e-21
C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1,val::C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1__gen0001::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.02443904978777758,0.07977445214056567,0.019227879121899605,0.04837395250797272,0.014684142544865608,0.03351529687643051,0.04837395250797272,0.019227877259254456,0.014684142544865608,0.03351529687643051,0.04837395250797272,0.019227877259254456,0.0,0.0,True,SOLVED,61,61,10.088450535884418,1.3722431821744322e-05,7.189221229160577e-05,2.415975468863881e-19
C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1,val::C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1__gen0001::cartesian_s2_u0.350,Cartesian_teacher_100k,mild,0.011653619928051237,0.02385627878114427,0.008522593416273594,0.015286969020962715,0.00760484766215086,0.013147054240107536,0.015286969020962715,0.008522591553628445,0.00760484766215086,0.013147054240107536,0.015286969020962715,0.008522591553628445,0.0,0.0,True,SOLVED,61,61,10.384233282571246,5.678065050240984e-06,6.238419800691489e-05,6.388570636136244e-20
C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2,val::C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.003095767327036104,0.006301709419834101,0.002290242351591587,0.004382082261145115,0.0019484998192638159,0.0037294395733624697,0.004382082261145115,0.0022902425844222307,0.0019484998192638159,0.0037294395733624697,0.004382082261145115,0.0022902425844222307,0.0,0.0,True,SOLVED,52,52,9.172407184932519,1.4021358843796849e-06,6.280874562240443e-05,5.204170427930421e-20
C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2,val::C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2__gen0000::cartesian_s2_u0.350,Cartesian_teacher_100k,medium,0.030551431344507187,0.06987188587482196,0.02532392181456089,0.04580249264836311,0.02230191044509411,0.04259691759943962,0.04580249264836311,0.02532391995191574,0.02230191044509411,0.04259691759943962,0.04580249264836311,0.02532391995191574,0.0,0.0,True,SOLVED,52,52,9.383948761754088,1.814522698594415e-05,8.23624338263954e-05,1.9394798072244322e-19
CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1,val::CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.03391768044370425,0.1061644892492497,0.022802187129855156,0.06602492928504944,0.017363866791129112,0.05228399857878685,0.06602492928504944,0.022802185267210007,0.017363866791129112,0.05228399857878685,0.06602492928504944,0.022802185267210007,0.0,0.0,True,SOLVED,44,44,9.951217031261184,1.1592228302565377e-05,5.1524577984631385e-05,1.6521175961683876e-19
