molecule_id,record_id,cartesian_target_cosine,bond_target_cosine,combined_target_cosine,cartesian_norm_ratio,bond_norm_ratio,combined_norm_ratio,constructive,cancellation,same_sign,opposite_sign,overcorrection,cartesian_already_fixed_bond_duplicates,cartesian_correct_bond_harms,bond_correct_cartesian_cancels,both_wrong,cartesian_alone_gain,bond_alone_gain,additive_combined_gain,interaction_gain,safety_gate_loss,acceptance_gain
CCn1c(_C=C_c2ccccc2F)nc2ccccc2c1=O,val::CCn1c(_C=C_c2ccccc2F)nc2ccccc2c1=O__gen0000,0.061524808690659794,0.1957028513460263,0.14935653678360114,0.19894584955976452,0.28790542372044203,0.45919662541058576,0.6410256410256411,0.358974358974359,0.6410256410256411,0.358974358974359,0.2564102564102564,0.358974358974359,0.07692307692307693,0.1794871794871795,0.28205128205128205,0.0,0.0,0.0,0.0,0.07692307978868484,0.0
CCn1cc(C(=O)NCc2ccc(C)o2)c2cc(OC)c(OC)cc2c1=O,val::CCn1cc(C(=O)NCc2ccc(C)o2)c2cc(OC)c(OC)cc2c1=O__gen0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.03921569138765335,-0.03921569138765335,0.09803922474384308,0.03921569138765335
CCn1cc(CCCC(=O)NCc2cccc(OC)c2)c2ccccc21,val::CCn1cc(CCCC(=O)NCc2cccc(OC)c2)c2ccccc21__gen0000::cartesian_s1_u0.350,0.0,0.0,0.0,33777299493.556576,44123964417.04956,73995098577.86497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555522441864,0.0555555522441864,0.07407405972480774,-0.037037044763565063,-0.09259259700775146,0.0
CCn1cc(CCCC(=O)NCc2cccc(OC)c2)c2ccccc21,val::CCn1cc(CCCC(=O)NCc2cccc(OC)c2)c2ccccc21__gen0000::cartesian_s2_u0.350,0.7733195826923136,0.5923614994733991,0.7120476653556491,2.971858958113426,3.211686906360688,5.899431464186405,0.6530612244897959,0.3469387755102041,0.6530612244897959,0.3469387755102041,0.7142857142857143,0.6122448979591837,0.08163265306122448,0.02040816326530612,0.04081632653061224,0.018518507480621338,0.037037014961242676,0.09259259700775146,0.03703707456588745,-0.07407405972480774,0.0
CCn1cc([N+](=O)[O-])c(C(=O)Nc2cc(C)on2)n1,val::CCn1cc([N+](=O)[O-])c(C(=O)Nc2cc(C)on2)n1__gen0000::cartesian_s1_u0.350,0.32686246679254477,0.5375130042494085,0.5129618387085266,0.10813397549464755,0.11397198723729617,0.18833050715367677,0.41935483870967744,0.5806451612903226,0.41935483870967744,0.5806451612903226,0.06451612903225806,0.25806451612903225,0.2903225806451613,0.25806451612903225,0.16129032258064516,0.0,0.032258063554763794,0.0,-0.032258063554763794,-0.12903225421905518,0.032258063554763794
CCn1cc([N+](=O)[O-])c(C(=O)Nc2cc(C)on2)n1,val::CCn1cc([N+](=O)[O-])c(C(=O)Nc2cc(C)on2)n1__gen0000::cartesian_s2_u0.350,0.45208067659082185,0.7230290752408622,0.6791918560331867,0.2558179270977936,0.2167418036887693,0.40100741054859074,0.45161290322580644,0.5483870967741935,0.45161290322580644,0.5483870967741935,0.1935483870967742,0.3870967741935484,0.1935483870967742,0.22580645161290322,0.06451612903225806,0.0,0.0,0.0,0.0,-0.06451612710952759,0.0
CCn1nnnc1SCC(=O)NC1CCCC1,val::CCn1nnnc1SCC(=O)NC1CCCC1__gen0001,0.2815455833977121,0.3363607325288724,0.34933445925603757,0.6764241652342753,0.6541832515967508,1.1750509663850253,0.6285714285714286,0.37142857142857144,0.6285714285714286,0.37142857142857144,0.4857142857142857,0.5142857142857142,0.11428571428571428,0.17142857142857143,0.11428571428571428,0.0,0.0,0.02857142686843872,0.02857142686843872,0.02857142686843872,0.0
CN(C(=O)COC(=O)c1ccccc1Nc1ccccc1)C1CCS(=O)(=O)C1,val::CN(C(=O)COC(=O)c1ccccc1Nc1ccccc1)C1CCS(=O)(=O)C1__gen0001,0.06475962170369931,0.11960090668997253,0.10354549544568406,0.282588135713696,0.3308012411185278,0.5588309649749096,0.5769230769230769,0.4230769230769231,0.5769230769230769,0.4230769230769231,0.36538461538461536,0.3269230769230769,0.1346153846153846,0.11538461538461539,0.25,0.01923077180981636,0.01923077180981636,0.01923077180981636,-0.01923077180981636,0.11538461968302727,0.0
CN(C(=O)c1ccco1)c1nc(-c2ccc(Cl)cc2)cs1,val::CN(C(=O)c1ccco1)c1nc(-c2ccc(Cl)cc2)cs1__gen0000::cartesian_s1_u0.350,0.376498362982361,0.35104427850586395,0.4440817131355794,2.774927535404555,1.5335113746096358,3.564853092862095,0.5,0.5,0.5,0.5,0.5588235294117647,0.35294117647058826,0.08823529411764706,0.08823529411764706,0.14705882352941177,0.0,0.0,0.0,0.0,-0.14705882221460342,0.0
CN(C(=O)c1ccco1)c1nc(-c2ccc(Cl)cc2)cs1,val::CN(C(=O)c1ccco1)c1nc(-c2ccc(Cl)cc2)cs1__gen0000::cartesian_s2_u0.350,0.5217116807608153,0.5523235030847433,0.619644755268601,0.2903073949830887,0.16995053524535692,0.3959114183826531,0.5882352941176471,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.17647058823529413,0.5882352941176471,0.17647058823529413,0.14705882352941177,0.0,0.05882352590560913,0.029411733150482178,0.05882352590560913,-0.029411733150482178,-0.0882352888584137,0.0
