applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,bootstrap_draws,cohort,effect_direction,loss_count,median_difference,method,metric,paired_mean_difference,row_type,significance_status,tie_count,win_count
2820,0.0,0.0,10000,high_flexibility,tie,0,0.0,V8 Full 12.5K minus Source,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,2820,0
7366,0.003423732465175332,0.003319341785589503,10000,high_flexibility,V8_12P5K_worse,7266,0.0027720389189198613,V8 Full 12.5K minus Source,mean_displacement,0.003370926190363514,paired_comparison,SIGNIFICANT_V8_12P5K_worse,100,0
7366,0.020435076022307205,0.019627877018254213,10000,high_flexibility,V8_12P5K_worse,7266,0.013645509257912636,V8 Full 12.5K minus Source,max_atom_displacement,0.02002777543005276,paired_comparison,SIGNIFICANT_V8_12P5K_worse,100,0
7366,0.0,0.0,10000,high_flexibility,tie,0,0.0,V8 Full 12.5K minus Source,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,7366,0
7366,0.00016430258936016835,0.00014045688275884035,10000,high_flexibility,V8_12P5K_worse,4855,0.00013720989227294922,V8 Full 12.5K minus Source,rmsd,0.00015251851328852188,paired_comparison,SIGNIFICANT_V8_12P5K_worse,101,2410
7366,1.400095219148597e-07,-3.1514797265941633e-07,10000,high_flexibility,V8_12P5K_better,2856,-2.8818922714890505e-07,V8 Full 12.5K minus Source,target_loss,-9.337057015028479e-08,paired_comparison,NOT_SIGNIFICANT,100,4410
4521,-0.013050210130502102,-0.0203494802034948,10000,low_error_minimal_movement,V8_12P5K_worse,75,0.0,V8 Full 12.5K minus Source,accepted,-0.0165892501658925,paired_comparison,SIGNIFICANT_V8_12P5K_worse,4446,0
4521,-0.1478280150057146,-0.15263035943863812,10000,low_error_minimal_movement,V8_12P5K_better,0,-0.14381419369260584,V8 Full 12.5K minus Source,weighted_bac_delta,-0.15020752541790003,paired_comparison,SIGNIFICANT_V8_12P5K_better,75,4446
4521,-0.0800801956355751,-0.082542767913,10000,low_error_minimal_movement,V8_12P5K_better,0,-0.0810810774564743,V8 Full 12.5K minus Source,bond_delta,-0.08130006046499748,paired_comparison,SIGNIFICANT_V8_12P5K_better,237,4284
1461,-0.006806841963063224,-0.007729732274784771,10000,low_error_minimal_movement,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,angle_delta,-0.007264631649914015,paired_comparison,SIGNIFICANT_V8_12P5K_better,758,703
1461,-0.006806841963063224,-0.007729732274784771,10000,low_error_minimal_movement,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,active_angle_delta,-0.007264631649914015,paired_comparison,SIGNIFICANT_V8_12P5K_better,758,703
5,1.674485974945128e-06,-4.963518586009741e-06,10000,low_error_minimal_movement,V8_12P5K_better,1,0.0,V8 Full 12.5K minus Source,clash_delta,-1.4505669241771102e-06,paired_comparison,NOT_SIGNIFICANT,2,2
1064,-0.04773287582451905,-0.05256203466731375,10000,low_error_minimal_movement,V8_12P5K_better,2,-0.0555555559694767,V8 Full 12.5K minus Source,ring_delta,-0.05015442957506424,paired_comparison,SIGNIFICANT_V8_12P5K_better,271,791
1377,0.0,0.0,10000,low_error_minimal_movement,tie,0,0.0,V8 Full 12.5K minus Source,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,1377,0
4521,0.002243944965104863,0.0021618335198669626,10000,low_error_minimal_movement,V8_12P5K_worse,4446,0.001948020071722567,V8 Full 12.5K minus Source,mean_displacement,0.0022026728837587803,paired_comparison,SIGNIFICANT_V8_12P5K_worse,75,0
4521,0.011092786970228518,0.010440985552342907,10000,low_error_minimal_movement,V8_12P5K_worse,4446,0.00781041057780385,V8 Full 12.5K minus Source,max_atom_displacement,0.010769897052523607,paired_comparison,SIGNIFICANT_V8_12P5K_worse,75,0
4521,0.0,0.0,10000,low_error_minimal_movement,tie,0,0.0,V8 Full 12.5K minus Source,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,4521,0
4521,0.00015918806345020542,0.00013505909304029282,10000,low_error_minimal_movement,V8_12P5K_worse,3067,0.00012958049774169922,V8 Full 12.5K minus Source,rmsd,0.00014715762555539885,paired_comparison,SIGNIFICANT_V8_12P5K_worse,75,1379
4521,1.846109841230807e-06,1.3695954725576148e-06,10000,low_error_minimal_movement,V8_12P5K_worse,2721,9.714665338833584e-08,V8 Full 12.5K minus Source,target_loss,1.6008289842161678e-06,paired_comparison,SIGNIFICANT_V8_12P5K_worse,75,1725
10000,-0.0012,-0.006,10000,natural,V8_12P5K_worse,90,0.0,V8 Full 12.5K minus D1,accepted,-0.0036,paired_comparison,SIGNIFICANT_V8_12P5K_worse,9856,54
10000,-0.18019208212760673,-0.18468937711772404,10000,natural,V8_12P5K_better,115,-0.1696694100901368,V8 Full 12.5K minus D1,weighted_bac_delta,-0.1824572719561501,paired_comparison,SIGNIFICANT_V8_12P5K_better,51,9834
10000,-0.08416654592087026,-0.08620105875811075,10000,natural,V8_12P5K_better,120,-0.08510638680309057,V8 Full 12.5K minus D1,bond_delta,-0.08518416192876176,paired_comparison,SIGNIFICANT_V8_12P5K_better,736,9144
5724,-0.0072815903829999504,-0.007828917500163443,10000,natural,V8_12P5K_better,27,0.0,V8 Full 12.5K minus D1,angle_delta,-0.007555595658502166,paired_comparison,SIGNIFICANT_V8_12P5K_better,3103,2594
5724,-0.0072815903829999504,-0.007828917500163443,10000,natural,V8_12P5K_better,27,0.0,V8 Full 12.5K minus D1,active_angle_delta,-0.007555595658502166,paired_comparison,SIGNIFICANT_V8_12P5K_better,3103,2594
20,8.127469766350257e-07,-3.353550814608752e-06,10000,natural,V8_12P5K_better,5,0.0,V8 Full 12.5K minus D1,clash_delta,-1.159274552264833e-06,paired_comparison,NOT_SIGNIFICANT,7,8
3761,-0.04901812280545829,-0.05249471283773824,10000,natural,V8_12P5K_better,37,-0.0476190485060215,V8 Full 12.5K minus D1,ring_delta,-0.050759805472380966,paired_comparison,SIGNIFICANT_V8_12P5K_better,1251,2473
3456,0.0,0.0,10000,natural,tie,0,0.0,V8 Full 12.5K minus D1,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,3456,0
10000,0.0032777986665503884,0.0031865645547130466,10000,natural,V8_12P5K_worse,9862,0.002622290508952574,V8 Full 12.5K minus D1,mean_displacement,0.003231901497860372,paired_comparison,SIGNIFICANT_V8_12P5K_worse,48,90
10000,0.01984068312024831,0.019150048977272245,10000,natural,V8_12P5K_worse,9860,0.012991340441658394,V8 Full 12.5K minus D1,max_atom_displacement,0.0194914152876765,paired_comparison,SIGNIFICANT_V8_12P5K_worse,48,92
10000,0.0,0.0,10000,natural,tie,0,0.0,V8 Full 12.5K minus D1,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,10000,0
10000,0.0001780750073026866,0.00015256474495632574,10000,natural,V8_12P5K_worse,6459,0.0001252889633178711,V8 Full 12.5K minus D1,rmsd,0.00016535367416217923,paired_comparison,SIGNIFICANT_V8_12P5K_worse,51,3490
10000,2.7425778009014915e-07,-1.6764580259004864e-07,10000,natural,V8_12P5K_worse,4251,-1.953276012045535e-07,V8 Full 12.5K minus D1,target_loss,4.913771499152411e-08,paired_comparison,NOT_SIGNIFICANT,48,5701
5724,-0.002795248078266946,-0.01013277428371768,10000,active_angle,V8_12P5K_worse,78,0.0,V8 Full 12.5K minus D1,accepted,-0.006464011180992313,paired_comparison,SIGNIFICANT_V8_12P5K_worse,5605,41
5724,-0.1859640018644147,-0.19219575632299843,10000,active_angle,V8_12P5K_better,102,-0.17670569467009045,V8 Full 12.5K minus D1,weighted_bac_delta,-0.18904559938507198,paired_comparison,SIGNIFICANT_V8_12P5K_better,6,5616
5724,-0.07834274410913653,-0.08113941655229959,10000,active_angle,V8_12P5K_better,104,-0.07999999821186066,V8 Full 12.5K minus D1,bond_delta,-0.07973426444196305,paired_comparison,SIGNIFICANT_V8_12P5K_better,561,5059
5724,-0.0072815903829999504,-0.007828917500163443,10000,active_angle,V8_12P5K_better,27,0.0,V8 Full 12.5K minus D1,angle_delta,-0.007555595658502166,paired_comparison,SIGNIFICANT_V8_12P5K_better,3103,2594
5724,-0.0072815903829999504,-0.007828917500163443,10000,active_angle,V8_12P5K_better,27,0.0,V8 Full 12.5K minus D1,active_angle_delta,-0.007555595658502166,paired_comparison,SIGNIFICANT_V8_12P5K_better,3103,2594
17,1.1818674505882556e-06,-3.612584269189135e-06,10000,active_angle,V8_12P5K_better,5,0.0,V8 Full 12.5K minus D1,clash_delta,-1.1236856795114683e-06,paired_comparison,NOT_SIGNIFICANT,5,7
2502,-0.043836859751568674,-0.04809778642546248,10000,active_angle,V8_12P5K_better,35,-0.04545454680919647,V8 Full 12.5K minus D1,ring_delta,-0.04597529277598544,paired_comparison,SIGNIFICANT_V8_12P5K_better,989,1478
2241,0.0,0.0,10000,active_angle,tie,0,0.0,V8 Full 12.5K minus D1,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,2241,0
5724,0.004046799856935436,0.003911177675331867,10000,active_angle,V8_12P5K_worse,5640,0.0033229892542294692,V8 Full 12.5K minus D1,mean_displacement,0.003979188801106831,paired_comparison,SIGNIFICANT_V8_12P5K_worse,6,78
5724,0.02649977386389731,0.025499923100614753,10000,active_angle,V8_12P5K_worse,5639,0.02104905868327478,V8 Full 12.5K minus D1,max_atom_displacement,0.026000830075628194,paired_comparison,SIGNIFICANT_V8_12P5K_worse,6,79
5724,0.0,0.0,10000,active_angle,tie,0,0.0,V8 Full 12.5K minus D1,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,5724,0
5724,0.0002023009228047275,0.00016212991184905135,10000,active_angle,V8_12P5K_worse,3698,0.0001366138458251953,V8 Full 12.5K minus D1,rmsd,0.00018213412354769904,paired_comparison,SIGNIFICANT_V8_12P5K_worse,7,2019
5724,1.056281551034961e-06,2.941090827666153e-07,10000,active_angle,V8_12P5K_worse,2047,-8.561491995351389e-07,V8 Full 12.5K minus D1,target_loss,6.66149389151457e-07,paired_comparison,SIGNIFICANT_V8_12P5K_worse,6,3671
20,0.25,-0.25,10000,active_clash,tie,3,0.0,V8 Full 12.5K minus D1,accepted,0.0,paired_comparison,NOT_SIGNIFICANT,14,3
20,-0.00042658297095728165,-0.09948560663617059,10000,active_clash,V8_12P5K_better,5,0.0,V8 Full 12.5K minus D1,weighted_bac_delta,-0.048468360671768095,paired_comparison,SIGNIFICANT_V8_12P5K_better,7,8
20,0.015448738541454074,-0.024316295526223254,10000,active_clash,V8_12P5K_better,6,0.0,V8 Full 12.5K minus D1,bond_delta,-0.003813577489927411,paired_comparison,NOT_SIGNIFICANT,10,4
