section,entity,metric,value,authoritative_source
CURRENT_FINAL,unrestricted_seed331,xtb_delta_lower_fraction,0.999,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,finite_coordinate_rate,1.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,records,5000.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,molecules,2500.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,v3d_overall,0.5058,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,posebusters_overall,0.9322,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,bond_raw_mae,0.0235789685859347,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,angle_cosine_raw_mae,0.0464028572546748,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,kabsch_source_rmsd,0.0097858248868957,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,reference_rmsd,1.423564719834739,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,xtb_delta_median,-3.6193323773954,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,xtb_delta_lower_fraction,0.9988,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed353,finite_coordinate_rate,1.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,records,5000.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,molecules,2500.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,v3d_overall,0.48233333333333334,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,posebusters_overall,0.9318,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,bond_raw_mae,0.023721622534291036,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,angle_cosine_raw_mae,0.046659477795029734,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,kabsch_source_rmsd,0.008128535101159498,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,reference_rmsd,1.42359715276596,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,xtb_delta_median,-3.4933123495960534,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,xtb_delta_lower_fraction,0.9989333333333333,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,finite_coordinate_rate,1.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,v3d_overall_seed_sd,0.0028728615235220096,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,posebusters_overall_seed_sd,0.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,bond_raw_mae_seed_sd,6.866111722798037e-05,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,angle_cosine_raw_mae_seed_sd,6.748065923902158e-05,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,kabsch_source_rmsd_seed_sd,0.00010686536031895259,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,reference_rmsd_seed_sd,1.1492575709615821e-05,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,xtb_delta_median_seed_sd,0.016676859312743948,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,xtb_delta_lower_fraction_seed_sd,0.00011547005383791244,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_three_seed_mean_sd,finite_coordinate_rate_seed_sd,0.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,records,5000.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,molecules,2500.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,v3d_overall,0.5032,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,posebusters_overall,0.9321333333333333,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,bond_raw_mae,0.023357933654462832,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,angle_cosine_raw_mae,0.04653118936093634,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,kabsch_source_rmsd,0.009734412754016599,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,reference_rmsd,1.42373000068459,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
