group,method,molecule_id,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity
all,upstream,CC(=O)c1cccc(NC(=O)c2nc(-c3ccccc3)oc2C)c1,7.0,1.058529406785965,0.0,0.05952381156384945,0.30670951306819916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5223064309380705,0.13620118983089924,0.0,1.2669038937929145e-06,1.3963285141471715e-06,2.4170709593818174e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666865348816,1.0585293769836426,1.3653141260147095,1.909785270690918
all,upstream,CC(=O)c1cn(-c2ccc(Cl)cc2)c(=O)n(Cc2ccc(Br)cc2)c1=O,5.0,0.8344536572694778,0.0,0.1190476231276989,0.16266276687383652,0.0,0.0,0.0555555559694767,0.0,0.0,0.0,0.0,2.951284542737069,0.21526887081563473,0.0,7.202881704415631e-07,7.851915881929017e-07,1.461853116779821e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666865348816,0.8344536423683167,0.9128063321113586,2.331125259399414
all,upstream,CC(=O)c1cn(CC(=O)NCc2ccco2)c2ccccc12,7.0,1.2044403553009033,0.0,0.08750000223517418,0.2550371568650007,0.02985074557363987,0.052768649533391,0.06666667014360428,0.0,0.0,0.0,0.0,3.1983399331428366,0.26096886955201626,0.0,4.1965326147419546e-07,4.44893146323011e-07,7.927958449727157e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.10000000149011612,1.2044403553009033,2.48380970954895,1.3299416303634644
all,upstream,CC(C(=O)Nc1ccc2c(c1)OCCO2)n1nnc(-c2ccccc2)n1,6.0,1.4447848796844482,0.0,0.09782608598470688,0.22317641973495483,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,2.5786200615199193,0.17634746432304382,0.0,8.628358898477018e-07,9.633270678932604e-07,1.9583209791562695e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.11764705926179886,1.4447848796844482,1.9597439765930176,1.637277364730835
all,upstream,CC(C(=O)OCC(=O)c1ccc(Br)cc1)N1C(=O)C2C3C=CC(C3)C2C1=O,7.0,1.622262418270111,0.0,0.10416666697710752,0.1454934156499803,0.03977272845804691,0.013767458032816648,0.0555555559694767,0.0,0.0,0.0,0.0,3.536169448780664,0.23931016982533038,0.0,6.655641016095615e-07,7.301396465209109e-07,1.4052735650693648e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6222624778747559,2.122560977935791,2.960578680038452
all,upstream,CC(C)(C)C(=O)Nc1ccc(-c2cn3ccsc3n2)cc1,7.0,1.3671225309371948,0.0,0.16249999776482582,0.5005669593811035,0.014705882407724857,0.045929161831736565,0.03333333507180214,0.0,0.0,0.0,0.0,2.544731312515487,0.34716324554756284,0.0,6.364755051890825e-07,7.190715223259758e-07,1.5085692552929686e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1666666716337204,1.3671225309371948,1.8084765672683716,1.4202244281768799
all,upstream,CC(C)(C)C(O)C[NH+]1CCCC1,7.0,1.5380828380584717,0.0,0.13235294446349144,0.25106123089790344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3207696462605756,0.1951182521879673,0.0,4.032636979900417e-07,4.445545584985666e-07,8.244371656473959e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5380828380584717,1.8006938695907593,1.7729027271270752
all,upstream,CC(C)(C)C1CCc2c(sc(NC(=O)C3CCCO3)c2C(N)=O)C1,8.0,1.278872311115265,0.0,0.21153846383094788,1.8665807247161865,0.01530612213537097,0.004372683935798705,0.20000000298023224,0.0,0.0,0.0,0.0,2.6946551964330405,0.8945829411095474,0.0,7.503243750761612e-07,8.231880315179296e-07,1.461452939111041e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03703703731298447,1.2788722515106201,2.0466315746307373,1.9060355424880981
all,upstream,CC(C)(C)OC(=O)NNC(=O)Nc1ccccc1C(F)(F)F,11.0,1.821833312511444,0.0,0.10526315867900848,0.2279476374387741,0.03125,0.03397190198302269,0.0,0.0,0.0,0.0,0.0,2.5887074719526098,0.20199304353445768,0.0,4.879358499465525e-07,5.325287446567017e-07,1.0442807649724273e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8218333721160889,2.3209075927734375,1.8674806356430054
all,upstream,CC(C)(C)c1cn(-c2ccc(Cl)cc2)c(=S)[nH]1,5.0,1.7791599035263062,0.0,0.10606060922145844,0.18960615992546082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9294562228312717,0.15346214920282364,0.0,5.242239353719924e-07,5.813406005472643e-07,1.3232466926638153e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7791599035263062,1.7791599035263062,1.2965803146362305
all,upstream,CC(C)C(=O)Nc1nnc(SCC(=O)NC2CCCC2)s1,10.0,1.6013401746749878,0.0,0.035714286379516125,0.08483652770519257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778516994334888,0.056923418305814266,0.0,4.976126888323051e-07,5.486785994435195e-07,1.0553138451996347e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6013401746749878,2.128190517425537,1.6965423822402954
all,upstream,CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,10.0,1.744127333164215,0.0,0.0882352963089943,0.34838180243968964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.916518170809148,0.1753307469189167,0.0,9.134519984854705e-07,9.915871146404243e-07,1.8210412235930562e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7441272735595703,2.3895387649536133,2.4775390625
all,upstream,CC(C)CC(=O)Nc1ccc2oc(-c3ccncc3)nc2c1,7.0,1.3721572160720825,0.0,0.09756097197532654,0.09800131246447563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.678681543185806,0.12206130009144545,0.0,6.968080867864046e-07,7.470789853414317e-07,1.3371694649322308e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3721572160720825,1.9572311639785767,2.012007713317871
all,upstream,CC(C)Cn1c(=O)c(C(=O)Nc2cnccn2)c(O)c2ccccc21,8.0,0.9457834959030151,0.0,0.13333333656191826,0.20713871717453003,0.013333333656191826,0.029894042294472456,0.08823529444634914,0.0,0.0,0.0,0.0,2.395552412854088,0.29416015453170985,0.0,6.479548773086208e-07,7.220176883038221e-07,1.5292152966139838e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1666666716337204,0.9457834959030151,1.2773369550704956,1.9855445623397827
all,upstream,CC(C)N(CCCNC(=O)Cn1c(=O)c2cccn2c2ccccc21)Cc1ccccc1,12.0,1.4626398086547852,0.0,0.12307692691683769,0.3527216836810112,0.008771929889917374,0.006230226950719953,0.0476190485060215,0.0,0.0,0.0,0.0,3.337371422039684,0.26920588297070935,0.0,7.613637933445716e-07,8.182731789929676e-07,1.5999579545677989e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03333333507180214,1.4626398086547852,1.9573709964752197,1.4363149404525757
all,upstream,CC(C)N(Cc1ccccc1)C(=O)C1CCN(c2ncnc3c2nc2n3CCCCC2)CC1,8.0,1.9379048943519592,0.0,0.10563379898667336,0.32740578055381775,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.7043769962891786,0.28748524412512777,0.0,5.421206310529669e-07,5.914165797094029e-07,1.06612048966781e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9379048347473145,2.937089443206787,2.5662147998809814
