method,molecule_id,sample_id,source,severity,update_scale,rotatable_bond_count,has_ring,clean_valid,groups,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,reject_reasons,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score
upstream,Cc1ccc2[nH]c3c(c2c1)CN(C(=O)CN1CCCc2ccccc21)CC3,val::Cc1ccc2[nH]c3c(c2c1)CN(C(=O)CN1CCCc2ccccc21)CC3__gen0000,ETFlow_formal_upstream,normal,0.0,4,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.7304447889328003,0.0,0.0892857164144516,0.31767383217811584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2572274261322525,0.16870417445898056,0.0,7.661346330678498e-07,8.492603456033976e-07,1.4354699260366033e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc2[nH]c3c(c2c1)CN(C(=O)CN1CCCc2ccccc21)CC3,val::Cc1ccc2[nH]c3c(c2c1)CN(C(=O)CN1CCCc2ccccc21)CC3__gen0001,ETFlow_formal_upstream,normal,0.0,4,True,False,all;ETFlow_normal;rotatable_3_5;ring,2.168651819229126,0.0,0.0714285746216774,0.13503596186637878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.423513763885116,0.1051875650882721,0.0,9.347697869088734e-07,1.080302354239393e-06,2.3061684260028414e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc2c(CC(=O)O)coc2c1C,val::Cc1ccc2c(CC(=O)O)coc2c1C__gen0000,ETFlow_formal_upstream,normal,0.0,5,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.780549168586731,0.0,0.0714285746216774,0.21325309574604034,0.06382978707551956,0.05850711837410927,0.0,0.0,0.0,0.0,0.0,3.7706764911654433,0.20319841522723436,0.0,6.555644063155341e-07,6.954776949896768e-07,1.1246181657043053e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc2c(CC(=O)O)coc2c1C,val::Cc1ccc2c(CC(=O)O)coc2c1C__gen0001,ETFlow_formal_upstream,normal,0.0,5,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.4919816255569458,0.0,0.0714285746216774,0.1743892878293991,0.042553190141916275,0.0910966768860817,0.0,0.0,0.0,0.0,0.0,3.5179300911922544,0.18035325594246387,0.0,6.197813604558178e-07,6.672419203823665e-07,1.0254771041218191e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1cccc(-n2c(SCC(=O)NCc3ccco3)nc3ccccc3c2=O)c1,val::Cc1cccc(-n2c(SCC(=O)NCc3ccco3)nc3ccccc3c2=O)c1__gen0000,ETFlow_formal_upstream,normal,0.0,8,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.9424603581428528,0.0,0.0784313753247261,0.21687616407871246,0.02380952425301075,0.04580800235271454,0.04545454680919647,0.0,0.0,0.0,0.0,3.6519527136244294,0.21336648799479008,0.0,8.122057693071838e-07,8.993998221740185e-07,1.5568682556477142e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1cccc(-n2c(SCC(=O)NCc3ccco3)nc3ccccc3c2=O)c1,val::Cc1cccc(-n2c(SCC(=O)NCc3ccco3)nc3ccccc3c2=O)c1__gen0001,ETFlow_formal_upstream,normal,0.0,8,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.8184556365013123,0.0,0.09803921729326248,0.18620595335960388,0.011904762126505375,0.036243706941604614,0.04545454680919647,0.0,0.0,0.0,0.0,3.6008843667937325,0.21101094130426645,0.0,4.1242387283091375e-07,4.6666610842294176e-07,9.098254167838604e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1cccc(-n2ncc3c(N)ncnc32)c1,val::Cc1cccc(-n2ncc3c(N)ncnc32)c1__gen0000,ETFlow_formal_upstream,normal,0.0,3,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.46689853072166443,0.0,0.10000000149011612,0.3821316361427307,0.0416666679084301,0.08980489522218704,0.0,0.0,0.0,0.0,0.0,3.33090508919631,0.25965080223977566,0.0,5.147018100615242e-07,5.705417152057635e-07,9.830249609876773e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1cccc(-n2ncc3c(N)ncnc32)c1,val::Cc1cccc(-n2ncc3c(N)ncnc32)c1__gen0001,ETFlow_formal_upstream,normal,0.0,3,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.12277606874704361,0.0,0.10000000149011612,0.12486408650875092,0.0416666679084301,0.08252885937690735,0.0,0.0,0.0,0.0,0.0,2.9414311491757705,0.19351490586996078,0.0,5.843565418217622e-07,6.681531203867053e-07,1.3696104588234448e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1cccc(C(=O)N2CCCC(N3CCN(c4ccccc4)CC3)C2)n1,val::Cc1cccc(C(=O)N2CCCC(N3CCN(c4ccccc4)CC3)C2)n1__gen0000,ETFlow_formal_upstream,normal,0.0,5,True,False,all;ETFlow_normal;rotatable_3_5;ring,1.8193989992141724,0.0,0.1034482792019844,0.26221853494644165,0.01886792480945587,0.0033808136358857155,0.0,0.0,0.0,0.0,0.0,3.9473445672208767,0.18871604115702212,0.0,5.137727043802442e-07,5.592422098743555e-07,1.1246181657043053e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1cccc(C(=O)N2CCCC(N3CCN(c4ccccc4)CC3)C2)n1,val::Cc1cccc(C(=O)N2CCCC(N3CCN(c4ccccc4)CC3)C2)n1__gen0001,ETFlow_formal_upstream,normal,0.0,5,True,False,all;ETFlow_normal;rotatable_3_5;ring,1.3552839756011963,0.0,0.03448275849223137,0.11769817024469376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7980931660460984,0.06390730105340481,0.0,1.754519644237007e-06,1.9059023088630056e-06,3.5468833630147856e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1cccc(C)c1NC(=O)NC1(C(=O)NCCCN2CCOCC2)CCCCC1,val::Cc1cccc(C)c1NC(=O)NC1(C(=O)NCCCN2CCOCC2)CCCCC1__gen0000,ETFlow_formal_upstream,normal,0.0,12,True,False,all;ETFlow_normal;rotatable_ge_6;ring,2.2866291999816895,0.0,0.1617647111415863,0.22448395192623138,0.015748031437397003,0.027774369344115257,0.0555555559694767,0.0,0.0,0.0,0.0,3.39555172863939,0.29613287886604667,0.0,9.63328034231381e-07,1.0465894320077496e-06,2.0379211491672322e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
