group,method,molecule_id,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity
all,upstream,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CS_C(=N_C(C)C)NC(C)C)[C@H]2SC1,18.0,2.870257019996643,0.0,0.6500000059604645,4.097571849822998,0.1495327092707157,0.4879985451698303,0.3333333358168602,0.0,0.0,0.0,0.0,2.973826084451405,2.2792586497962475,0.0,1.1141615914311842e-06,1.2588603226504347e-06,2.3672362203797093e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8702569007873535,2.864636182785034,0.028834396973252296
all,upstream,CC(=O)_C=C_c1ccccc1O,4.0,0.6493789255619049,0.0,0.3863636404275894,2.447949230670929,0.014705882407724857,0.00886563304811716,0.1666666716337204,0.0,0.0,0.0,0.0,2.2654465936254584,1.1819399103987962,0.0,4.958749855177302e-07,5.693048308330617e-07,1.15413610046744e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6493788957595825,0.6451812982559204,0.027473265305161476
all,upstream,CC(=O)c1ccc(OCC(=O)N2CCCC(Nc3ccc(C)c(C)c3)C2)cc1,10.0,1.3139426708221436,0.0,0.5603448152542114,3.131293535232544,0.05339805968105793,0.05001691495999694,0.3888889029622078,0.0,0.0,0.0,0.0,3.3283958969488907,1.7979593904456124,0.0,8.809283542632329e-07,9.511773271242419e-07,1.5917116229502426e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3139426708221436,1.3103549480438232,0.030439237132668495
all,upstream,CC(C)(C)C(=O)Nc1ccc(-c2cn3ccsc3n2)cc1,7.0,1.13957679271698,0.0,0.48750001192092896,2.672153651714325,0.07352941203862429,0.031399698462337255,0.20000000670552254,0.0,0.0,0.0,0.0,2.625338650492085,1.4369177682092413,0.0,9.80996219368535e-07,1.06841929436996e-06,1.8696127312978206e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.13957679271698,1.1340996026992798,0.029963137581944466
all,upstream,CCCCC(c1nnnn1CS(=O)(=O)c1ccc(C)cc1)[NH+]1CCN(c2ccccc2)CC1,11.0,2.3948222398757935,0.0,0.5869565308094025,3.371080756187439,0.1269841305911541,0.162448201328516,0.32608694583177567,0.0,0.0,0.0,0.0,3.247812432261948,1.923409846611321,0.0,9.176409889732895e-07,1.0188755652507098e-06,1.992284239804576e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.394822120666504,2.388267993927002,0.029849162325263023
all,upstream,CCN(CC)c1ccc(-c2sc(Nc3ccccc3)n[n+]2-c2ccc(F)cc2)cc1,9.0,1.0628565549850464,0.0,0.45614035427570343,2.3919402956962585,0.04210526216775179,0.03611105680465698,0.28260868787765503,0.0,0.0,0.0,0.0,3.059457176021701,1.3878671424463391,0.0,1.0097592166857794e-06,1.102077249015565e-06,1.925870719787781e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0628565549850464,1.0590763092041016,0.02821229211986065
all,upstream,CCN1CC[NH+](CCOCCOc2ccccc2-c2ccccc2)CC1,10.0,1.5702574253082275,0.0,0.576271191239357,3.2822548151016235,0.07009345572441816,0.07515905424952507,0.4166666641831398,0.0,0.0,0.0,0.0,2.854033989386881,1.902384778484702,0.0,4.7619154486255866e-07,5.278289165744354e-07,9.75358545929339e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5702574253082275,1.5660160779953003,0.0301791001111269
all,upstream,CCOC(=O)N1CCN(C(=O)c2cn(C)c3ccc(S(=O)(=O)N(C)C4CCCCC4)cc3c2=O)CC1,11.0,2.5176708698272705,0.0,0.5753424614667892,3.814739942550659,0.07720588333904743,0.09998071938753128,0.41304346919059753,0.0,0.0,0.0,0.0,2.9731517342875007,2.044271979480982,0.0,9.806691991798289e-07,1.0629206030898786e-06,1.8805222907758434e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5176708698272705,2.5118234157562256,0.029581259936094284
all,upstream,CCOc1ncnc2c1sc1nc(C)cc(C)c12,5.0,0.5278393924236298,0.0,0.40909092128276825,3.8113975524902344,0.01785714365541935,0.01436275476589799,0.0,0.0,0.0,0.0,0.0,2.7565425010903937,1.3833881417522207,0.0,5.866156271849832e-07,6.485119001808926e-07,1.1338844956299e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5278394222259521,0.524188220500946,0.024056369438767433
all,upstream,CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1,8.0,2.1174638271331787,0.0,0.45945945382118225,1.9183351397514343,0.06779660936444998,0.058331538923084736,0.1666666679084301,0.0,0.0,0.0,0.0,3.354758762343703,1.188089400762692,0.0,8.080401130428072e-07,8.650766574191948e-07,1.418315605405951e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1174638271331787,2.110506057739258,0.027833102270960808
