group,method,molecules,records,torsion_prior_outlier_score,mean_torsion_change,p95_torsion_change,high_flex_torsion_change,high_flex_p95_torsion_change,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction
rotatable_3_5,run_b_accepted,37,47,3.2222328065073915,0.00013965043219925705,0.0007338891460676677,0.0,0.0,3.0207436216064586e-08,0.02702702702702703,7.932964345485132e-11,1.338268796230516e-08
rotatable_3_5,run_b_raw,37,47,3.2222328065073915,0.00026126877745859066,0.0007892588968388735,0.0,0.0,3.0207436216064586e-08,0.02702702702702703,7.932964345485132e-11,1.338268796230516e-08
rotatable_3_5,upstream,37,47,3.2222328065073915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rotatable_ge_6,run_a_accepted,34,49,3.1798068392749443,0.00043421874868406174,0.0015979918214725328,0.0014835762755383791,0.006031574384542178,0.0,0.0,0.0,0.0
rotatable_ge_6,run_b_accepted,34,49,3.1798068392749443,0.00030351114853200507,0.0010505137674044816,0.0011163954468964435,0.004359186516376207,0.0,0.0,0.0,0.0
rotatable_ge_6,run_b_raw,34,49,3.1798068392749443,0.0003660289973648854,0.0010505137674044816,0.0012992173510343384,0.004359186516376207,0.0,0.0,0.0,0.0
rotatable_ge_6,upstream,34,49,3.1788159921386696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ring,run_a_accepted,100,130,3.147576272524327,0.00021151768316485687,0.001243099264684133,0.000504415933683049,0.006031574384542178,0.0,0.0,0.0,0.0
ring,run_b_accepted,100,130,3.147576272524327,0.00017266002247197322,0.0009301225552917458,0.00037957445194479076,0.004359186516376207,1.8537824658437785e-07,0.03,4.3223127632607827e-10,8.529729071293723e-08
ring,run_b_raw,100,130,3.147576272524327,0.00025696656458649156,0.0009301225552917458,0.0004417338993516751,0.004359186516376207,1.8537824658437785e-07,0.03,4.3223127632607827e-10,8.529729071293723e-08
ring,upstream,100,130,3.1472393844979933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non_ring,upstream,0,0,,,,,,,,,
non_ring,run_a_accepted,0,0,,,,,,,,,
non_ring,run_b_raw,0,0,,,,,,,,,
non_ring,run_b_accepted,0,0,,,,,,,,,
clean_valid,upstream,0,0,,,,,,,,,
clean_valid,run_a_accepted,0,0,,,,,,,,,
clean_valid,run_b_raw,0,0,,,,,,,,,
clean_valid,run_b_accepted,0,0,,,,,,,,,
