subset,method,molecules,bond_violation,angle_violation,torsion_circular_error,ring_invalidity,clash_score,chirality_error,aligned_RMSD,ms_per_conformer,COV_P,COV_R,MAT_P,MAT_R,diversity
rotatable_le_2,ECIR_4step_teacher,15,0.012171891269584496,0.020412631891667844,0.07828877170880635,0.014231016331662735,0.0,0.0,0.7622114529212316,76.13960666688702,,,,,
rotatable_le_2,MMFF_10step,15,0.0031435287053075927,0.005780220652619998,0.05366207487725963,0.003776571185638507,0.0,0.0,0.7670078846315543,4.307820001849905,,,,,
rotatable_le_2,MMFF_50step,15,0.0,0.0,0.0,0.0,0.0,0.0,0.7754600827892622,6.651179999365316,,,,,
rotatable_le_2,upstream,15,0.013407311091820398,0.02041424668083588,0.07959518822996567,0.016435085547467074,0.0,0.0,0.7619958831307788,0.0,,,,,
source_cartesian_teacher_100k,ECIR_4step_teacher,25,0.06433033779263496,0.049122323840856554,0.09402308911085129,0.054806091394275426,1.1898171942448244e-06,0.005,1.5758115562796593,63.5433719996945,,,,,
source_cartesian_teacher_100k,MMFF_10step,25,0.029695504289120437,0.04060045417398214,0.08492073168978095,0.027559544732794164,0.0,0.005,1.6158010221272707,6.454830000002403,,,,,
source_cartesian_teacher_100k,MMFF_50step,25,0.0,0.0,0.0,0.0,0.0,0.0,1.6108823777735233,11.909120001655538,,,,,
source_cartesian_teacher_100k,upstream,25,0.14337244018912315,0.10083744257688522,0.12793247673660516,0.1220468107610941,6.582593596249353e-07,0.005,1.5381918555498124,0.0,,,,,
source_upstream_etflow_formal,ECIR_4step_teacher,25,0.011789496820420027,0.02066293843090534,0.08112317420542241,0.013733220342546702,0.0,0.0,1.0199407160282135,72.4424820006243,,,,,
source_upstream_etflow_formal,MMFF_10step,25,0.003561685841996223,0.006406737668439746,0.05644315445329994,0.004046756941825151,0.0,0.0,1.0229242046177387,5.194208001776133,,,,,
source_upstream_etflow_formal,MMFF_50step,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0253176322579385,8.8303439997253,,,,,
source_upstream_etflow_formal,upstream,25,0.013249441776424646,0.020558909624814988,0.0819221120653674,0.0162215974368155,0.0,0.0,1.0192212381027639,0.0,,,,,
