sample_id,bond_solver_failure_fraction,cartesian_bond_subspace_cosine,bond_cancellation_fraction,atom_clipping_fraction,graph_clip_scale_min
val::CCCOc1ccc(N)cc1[NH3+]__gen0000::cartesian_s2_u0.350,0.0,0.8227919340133667,0.0,0.0,1.0
val::CCCc1cc(=O)oc2c(C)c(OCC(=O)N3CCC(C(N)=O)CC3)ccc12__gen0000,0.0,0.8192884027957916,0.0,0.0,1.0
val::CCCc1ccc(-c2csc(NC(=O)Cc3cccs3)n2)cc1__gen0000::cartesian_s1_u0.350,0.0,0.3427288606762886,0.0,0.0,1.0
val::CCCc1ccc(-c2csc(NC(=O)Cc3cccs3)n2)cc1__gen0000::cartesian_s2_u0.350,0.0,0.43139661848545074,0.0,0.0,1.0
val::CCCc1nc2ccccc2c(C(=O)OCC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1CC__gen0000,0.0,0.785797968506813,0.0,0.0,1.0
val::CCCn1nnc(NC(=O)c2ccc(-c3ccccc3)cc2)n1__gen0000::cartesian_s1_u0.350,0.0,0.48164597898721695,0.0,0.0,1.0
val::CCCn1nnc(NC(=O)c2ccc(-c3ccccc3)cc2)n1__gen0000::cartesian_s2_u0.350,0.0,0.6136072278022766,0.0,0.0,1.0
val::CCN(C(=O)c1c(-c2ccccc2)noc1C)c1ccccc1__gen0000,0.0,0.6073100864887238,0.0,0.0,1.0
val::CCN(C(=S)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1Cl)c1cccc2ccccc12__gen0001,0.0,0.6071159690618515,0.0,0.0,1.0
val::CCN(CC(=O)NC(C)(C)C)C(=O)CCl__gen0000,0.0,0.8428344577550888,0.0,0.0,1.0
val::CCN(CC)C(=O)CSc1nc2ccccc2n1CC(=O)N1CCN(c2ccccc2OC)CC1__gen0001::cartesian_s1_u0.350,0.0,0.6661553978919983,0.0,0.0,1.0
