group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement
ETFlow_normal,run_a_accepted,70,70,4.071428571428571,1.1246996764226684,8.44776098217283e-05,0.11841230943266834,0.3474049245406474,0.018306425659518157,0.07049089770298451,0.040077821112104825,0.0064285714285714285,0.0,0.0,0.0,3.122361762655272,0.28769908319377074,0.0,0.0002153552852628796,0.0002669870874415535,0.004963457118719816,0.6142857142857143,2.9025870000103688e-05,2.1498118128095355e-05,0.38571428571428573,1.3571428571428572,0.006456925344121243,0.10057139330144439,0.1502901346289686,0.0005709738878067582,0.0,0.0,-0.004306540664817606,-0.0095048599211233,0.0,-0.0007265829414661441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006864401380464967,0.6,0.16844608645353998,1.1246996764226684,1.986569631711713,0.0,0.38571428571428573,0.6142857142857143,0.6142857142857143,0.38571428571428573,0.0,0.014285714285714285,0.37142857142857144,0.0015467992343474153
ETFlow_normal,run_a_raw,70,70,4.071428571428571,1.124854858339365,0.000239659526518413,0.12666093289319957,0.3752048942127398,0.018306425659518157,0.07052545777322458,0.04103020200771945,0.0064285714285714285,0.0,0.0,0.0,3.122361762655272,0.3038587199854997,0.0,0.0005726160855764257,0.0007313394151944001,0.005467089358717203,0.0,9.498271552794384e-05,4.887708595820836e-05,0.38571428571428573,1.3571428571428572,0.006456925344121243,0.10057139330144439,0.1502901346289686,0.0005709738878067582,0.0,0.0,0.003942082795713629,0.01829510975096907,0.0,-0.0006920228712260723,0.000952380895614624,0.0,0.0,0.0,0.0,0.0,0.0,0.009295235411264003,0.6,0.16844608645353998,1.124854858339365,1.9867374842986465,0.0,0.38571428571428573,0.6142857142857143,0.0,0.35714285714285715,0.6428571428571429,0.014285714285714285,0.9857142857142858,0.0023540984606370313
ETFlow_normal,stage_b_rescued,70,70,4.071428571428571,1.125230889275138,0.0006156904622912407,0.10659382667924677,0.3133734580661569,0.017966289572151645,0.06852882087696344,0.035215052243854315,0.0064285714285714285,0.0,0.0,0.0,3.1296047361461343,0.26167930965960423,0.0,0.002121910881298561,0.002400448002252022,0.023625211790204048,0.5571428571428572,0.0011567420908249915,0.00019170088427407402,0.44285714285714284,0.8857142857142857,0.04073380827903748,0.05812291870159762,0.0,0.0,0.0,0.0,-0.016125023418239185,-0.043536326395613806,-0.00034013608736651284,-0.0026886597674872195,-0.004862768868250506,0.0,0.0,0.0,0.0,0.0,0.007242973490861944,-0.03288417491463146,0.6,0.16844608645353998,1.125230889275138,1.9872869069288883,0.0,0.44285714285714284,0.5571428571428572,0.5571428571428572,0.44285714285714284,0.0,0.014285714285714285,0.42857142857142855,0.007689529750496148
ETFlow_normal,upstream,70,70,4.071428571428571,1.1246151988128466,0.0,0.12271885009748595,0.35690978446177074,0.018306425659518157,0.07121748064445066,0.040077821112104825,0.0064285714285714285,0.0,0.0,0.0,3.122361762655272,0.2945634845742357,0.0,6.240870137373479e-07,6.865387786904518e-07,2.6656007321435027e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.16844608645353998,1.1246151988128466,1.9864763053134085,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3657677584433257e-06
Cartesian_mild,minimal_validity_target,22,22,6.318181818181818,1.4844006757167252,0.002063540911132639,0.3294694162905216,1.4827464149354703,0.06420880039645867,0.14962357390587303,0.2555445603687655,0.0,0.0,0.0,0.0,3.2538329300883175,1.0573152742660816,0.0,0.01024042839441625,0.011967368304549485,0.06639378517866135,0.045454545454545456,0.009930817738429389,0.005340274296362291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19548429582606663,-1.6367960158121688,0.004245722835714167,-0.05049552711319517,-0.09765338745306838,-0.01515151515151515,0.0,0.0,0.0,0.0,-0.012144522344940567,-0.7258663613262769,0.4090909090909091,0.4090909090909091,1.4844006757167252,1.4844006757167252,0.0,1.0,0.0,0.045454545454545456,0.9545454545454546,0.0,0.045454545454545456,0.9090909090909091,0.02868760162964463
Cartesian_mild,old_ecir_4step,22,22,6.318181818181818,1.494839552112601,0.012502417307008396,0.2654488449069587,0.9229548810557886,0.01747894630005414,0.14838084709745916,0.1555143432183699,0.01515151515151515,0.0,0.0,0.0,3.2312739609686414,0.7214275816152097,0.0,0.0332821579226716,0.03650682686235417,0.09649886190891266,0.0,0.009308986244088208,0.014772454361346636,1.0,4.0,0.04343479719351639,0.08588869039985267,0.0,0.0,0.0,0.0,-0.25950486720962956,-2.1965875496918503,-0.042484131260690366,-0.05173825392160903,-0.19768360460346396,0.0,0.0,0.0,0.0,0.0,-0.03470349146461695,-1.0617540539771488,0.4090909090909091,0.4090909090909091,1.494839552112601,1.494839552112601,0.0,1.0,0.0,0.0,1.0,0.0,0.045454545454545456,0.9545454545454546,0.05242973733693361
Cartesian_mild,old_restrained_mmff_target,22,22,6.318181818181818,1.5170863128521226,0.034749178046529945,0.18617423708465966,0.5271811681714925,0.017562325578182936,0.1913579955316064,0.04189217784865336,0.03787878787878787,0.0,0.0,0.0,3.2781724786422513,0.4631423193160585,0.0,0.13248775459148668,0.1458038572560657,0.34662237763404846,0.0,0.08523780302229253,0.07000837610526518,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33877947503192857,-2.5923612625761465,-0.04240075198256157,-0.008761105487461795,-0.3113057699731805,0.022727272727272728,0.0,0.0,0.0,0.0,0.012195026208993215,-1.3200393162763,0.36363636363636365,0.36363636363636365,1.5170863128521226,1.5170863128521226,0.0,1.0,0.0,0.0,1.0,0.0,0.13636363636363635,0.8636363636363636,0.1822652980685234
Cartesian_mild,run_a_accepted,22,22,6.318181818181818,1.484206854958426,0.001869720152833245,0.441159110177647,2.2212392416867344,0.05511713950810107,0.19712182869923048,0.34435956383293326,0.01515151515151515,0.0,0.0,0.0,3.265977452433258,1.4603775962666874,0.0,0.004998808712674541,0.006362031194844969,0.014043995179235935,0.045454545454545456,0.000637988696160557,0.0013604963632215831,0.9545454545454546,3.727272727272727,0.1341399863700975,0.12226743877611378,0.7756066010756926,0.005376900813478807,0.0,0.0,-0.08379460193894127,-0.8983031890609048,-0.004845938052643429,-0.0029972723198377275,-0.008838383988900618,0.0,0.0,0.0,0.0,0.0,0.0,-0.3228040393256709,0.4090909090909091,0.4090909090909091,1.484206854958426,1.484206854958426,0.0,0.9545454545454546,0.045454545454545414,0.045454545454545456,0.9545454545454546,0.0,0.045454545454545456,0.9090909090909091,0.008039179095067083
Cartesian_mild,run_a_raw,22,22,6.318181818181818,1.4843685813248158,0.0020314465192231264,0.44827573136849835,2.2251921458677812,0.05511713950810107,0.19712420949839393,0.34435956383293326,0.01515151515151515,0.0,0.0,0.0,3.265977452433258,1.4684830387025913,0.0,0.005383236725306647,0.0068575607147067785,0.014043995179235935,0.0,0.0006587131872286343,0.0013604963632215831,0.9545454545454546,3.727272727272727,0.1341399863700975,0.12226743877611378,0.7756066010756926,0.005376900813478807,0.0,0.0,-0.07667798074808987,-0.8943502848798578,-0.004845938052643429,-0.002994891520674256,-0.008838383988900618,0.0,0.0,0.0,0.0,0.0,0.0,-0.3146985968897669,0.4090909090909091,0.4090909090909091,1.4843685813248158,1.4843685813248158,0.0,0.9545454545454546,0.045454545454545414,0.0,0.9545454545454546,0.045454545454545456,0.045454545454545456,0.9545454545454546,0.008039179095067083
Cartesian_mild,stage_b_rescued,22,22,6.318181818181818,1.4908921772783452,0.008555042472752657,0.3028575239533728,1.0839735471050849,0.018893050199205227,0.15015177279499106,0.22579230689866978,0.01515151515151515,0.0,0.0,0.0,3.2360614481595946,0.8712257261777818,0.0,0.022879498926076023,0.025209041460501878,0.05324821546673775,0.0,0.006449460533489896,0.009645075791261414,1.0,2.0,0.042559378018433396,0.08825645240193064,0.0,0.0,0.0,0.0,-0.22209618816321547,-2.0355688836425543,-0.04107002736153928,-0.049967328224077144,-0.12740564092316412,0.0,0.0,0.0,0.0,0.0,-0.029916004273663376,-0.9119559094145767,0.4090909090909091,0.4090909090909091,1.4908921772783452,1.4908921772783452,0.0,1.0,0.0,0.0,1.0,0.0,0.045454545454545456,0.9545454545454546,0.033232393115758894
