group,method,molecules,records,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,mean_displacement,p95_displacement,max_displacement,mean_torsion_change,high_flex_torsion_change,selected_step,uncertainty
rotatable_le_2,upstream,29,34,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.288208195326723e-07,8.943961006480093e-07,1.6413280832239252e-06,0.0,0.0,0.0,0.0
rotatable_3_5,run_a_accepted,37,47,0.4864864864864865,0.5135135135135135,0.5135135135135135,0.4864864864864865,0.0,0.0,0.4864864864864865,0.0010026299737761735,0.004746011225506662,0.011816508136689663,0.00013335227983613573,0.0,1.7297297297297298,0.026179983985383768
rotatable_3_5,run_a_raw,37,47,0.4864864864864865,0.5135135135135135,0.0,0.43243243243243246,0.5675675675675675,0.0,1.0,0.001477382313365721,0.00548646526876837,0.011816508136689663,0.00021270545248994863,0.0,1.7297297297297298,0.026179983985383768
rotatable_3_5,upstream,37,47,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.601299437411276e-07,1.4138080814518617e-06,2.6395252916699974e-06,0.0,0.0,0.0,0.0
rotatable_ge_6,run_a_accepted,34,49,0.6176470588235294,0.38235294117647056,0.38235294117647056,0.6176470588235294,0.0,0.0,0.6176470588235294,0.0023128737797075954,0.007716803241055458,0.01182921463623643,0.00043421781308151204,0.0014835745224605918,2.3970588235294117,0.06685309407219071
rotatable_ge_6,run_a_raw,34,49,0.6176470588235294,0.38235294117647056,0.0,0.6764705882352942,0.3235294117647059,0.0,1.0,0.002503134668479427,0.007716803241055458,0.01182921463623643,0.0004568110189746435,0.00154167327341651,2.3970588235294117,0.06685309407219071
rotatable_ge_6,upstream,34,49,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.703420709169543e-07,1.2765831030492336e-06,2.6656007321435027e-06,0.0,0.0,0.0,0.0
ring,run_a_accepted,100,130,0.555,0.44499999999999995,0.445,0.56,0.0,0.03,0.53,0.0013587663616519308,0.007121750863734633,0.01182921463623643,0.000211517290554184,0.0005044153376366012,2.065,0.03608168258331716
ring,run_a_raw,100,130,0.555,0.44499999999999995,0.0,0.54,0.46,0.03,0.97,0.0016769621803541669,0.007121750863734633,0.01182921463623643,0.00026297881894834065,0.0005241689129616134,2.065,0.03608168258331716
ring,upstream,100,130,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.595224209604567e-07,1.2613921484216915e-06,2.6656007321435027e-06,0.0,0.0,0.0,0.0
