record_id,molecule_id,seed,tau,source_rmsd_raw,max_atom_displacement,finite,w_B,w_A,reference_rmsd_angstrom,source_rmsd_angstrom,proposal_v3d,raw_v3d,proposal_pb,sanitization,all_atoms_connected,raw_pb,proposal_xtb_hartree,raw_xtb_hartree,delta_e_kcal_mol,matched_success,num_atoms,seed_concentration,topology_validity,raw_displacement_rms,kabsch_source_rmsd
ditmc-test-small:s00000:r001216:repeat0,ditmc-mol:e1d833f7cb6854641844d0f4,307,279.0620422363281,279.0620422363281,1220.0195583135303,True,0.48099106550216675,0.5190088748931885,355.3143427848727,279.0620422363281,False,False,False,True,False,False,,-37.742181398197,,False,43,True,False,279.0620422363281,279.0620422363281
ditmc-test-small:s00000:r002463:repeat0,ditmc-mol:e1d833f7cb6854641844d0f4,307,276.8694763183594,276.8694763183594,1113.758730690289,True,0.48099106550216675,0.5190088748931885,361.93378255881345,276.8694763183594,False,False,False,True,False,False,,,,False,43,True,False,276.8694763183594,276.8694763183594
ditmc-test-small:s00000:r002802:repeat1,ditmc-mol:e1d833f7cb6854641844d0f4,307,273.0514831542969,273.0514831542969,1176.0242120160055,True,0.48099106550216675,0.5190088748931885,353.73826684754306,273.0514831542969,False,False,False,True,False,False,,-14.160949780197,,False,43,True,False,273.0514831542969,273.0514831542969
ditmc-test-small:s00001:r001602:repeat1,ditmc-mol:e1d833f7cb6854641844d0f4,307,271.1609802246094,271.1609802246094,1046.4619090629526,True,0.48099106550216675,0.5190088748931885,212.92169131891194,271.1609802246094,False,False,False,True,False,False,,6.253160562239,,False,43,True,False,271.1609802246094,271.1609802246094
ditmc-test-small:s00000:r001418:repeat1,ditmc-mol:e1d833f7cb6854641844d0f4,307,270.4245300292969,270.4245300292969,979.7001939742643,True,0.48099106550216675,0.5190088748931885,281.12118276064245,270.4245300292969,False,False,False,True,False,False,,,,False,43,True,False,270.4245300292969,270.4245300292969
ditmc-test-small:s00001:r001042:repeat0,ditmc-mol:e1d833f7cb6854641844d0f4,307,269.5450134277344,269.5450134277343,1129.8071385094427,True,0.48099106550216675,0.5190088748931885,355.07734271528415,269.5450134277343,False,False,False,True,False,False,,,,False,43,True,False,269.5450134277343,269.5450134277343
ditmc-test-small:s00001:r001267:repeat1,ditmc-mol:e1d833f7cb6854641844d0f4,307,265.45037841796875,265.45037841796875,1112.184239716857,True,0.48099106550216675,0.5190088748931885,343.7942308382535,265.45037841796875,False,False,False,True,False,False,,-43.883186337586,,False,43,True,False,265.45037841796875,265.45037841796875
ditmc-test-small:s00000:r002597:repeat1,ditmc-mol:e1d833f7cb6854641844d0f4,307,263.6553955078125,263.6553955078125,1172.5946061628065,True,0.48099106550216675,0.5190088748931885,336.16996810479776,263.6553955078125,False,False,False,True,False,False,,-36.006895054825,,False,43,True,False,263.6553955078125,263.6553955078125
ditmc-test-small:s00001:r000900:repeat1,ditmc-mol:e1d833f7cb6854641844d0f4,307,259.12408447265625,259.12408447265625,1188.6859573331915,True,0.48099106550216675,0.5190088748931885,338.56482324898093,259.12408447265625,False,False,False,True,False,False,,,,False,43,True,False,259.12408447265625,259.12408447265625
ditmc-test-small:s00000:r000938:repeat0,ditmc-mol:e1d833f7cb6854641844d0f4,307,258.854248046875,258.854248046875,1151.4831426097273,True,0.48099106550216675,0.5190088748931885,325.5112131492686,258.854248046875,False,False,False,True,False,False,,13.866681504492,,False,43,True,False,258.854248046875,258.854248046875
