comparison,metric,effect_definition,higher_is_better,finite_records,finite_molecules,mean_paired_effect,ci95_low,ci95_high,median_molecule_effect,effect_p05,effect_p25,effect_p50,effect_p75,effect_p95,wins,ties,losses,cluster_unit,records_per_primary_molecule,bootstrap_resamples
source_to_unrestricted_seed307,validity3d,candidate_minus_baseline,True,5000,2500,0.281,0.2658,0.2964,0.0,0.0,0.0,0.0,0.5,1.0,1134,1282,84,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed307,kabsch_source_rmsd,candidate_minus_baseline,False,5000,2500,0.0012082790859949551,0.0010946656750570065,0.0013497795968199376,0.0006683209212497204,-0.0003051733598112803,0.00022707571042703662,0.0006683209212497204,0.0013226639712229059,0.0036201864946633746,372,0,2128,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed307,delta_e_kcal_mol,candidate_minus_baseline,False,5000,2500,-3.905012039561678,-5.699519743168366,-1.5207311014108604,-3.664070719470704,-9.831940552242658,-5.162835093418107,-3.664070719470704,-2.635117416607109,-1.701320220532377,2495,0,5,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed307,delta_e_kcal_mol,candidate_minus_baseline,False,5000,2500,0.1072458017036467,-1.1923263660337484,1.7398750366535392,-0.11787878593335677,-1.0818613886948223,-0.26134868370824593,-0.11787878593335677,-0.03265761823295099,0.05593460747920994,2129,0,371,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,validity3d,candidate_minus_baseline,True,5000,2500,0.2776,0.2622,0.293,0.0,0.0,0.0,0.0,0.5,1.0,1130,1280,90,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed331,validity3d,candidate_minus_baseline,True,5000,2500,0.02,0.012,0.028,0.0,0.0,0.0,0.0,0.0,0.5,216,2160,124,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,PB,candidate_minus_baseline,True,5000,2500,0.001,0.0002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,5,2495,0,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed331,PB,candidate_minus_baseline,True,5000,2500,0.0006,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,3,2497,0,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,reference_rmsd,candidate_minus_baseline,False,5000,2500,0.0005519989411129867,0.0005313852641979351,0.0005757462495999529,0.0005022913814207441,-2.9312971394507966e-05,0.00027516020432039046,0.0005022913814207441,0.000768467998684727,0.0012247316310635137,150,0,2350,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed331,reference_rmsd,candidate_minus_baseline,False,5000,2500,0.00020280648364702213,0.00018928191627502072,0.0002200249341198554,0.00017111535319114246,-8.367299049436005e-06,9.149883005320214e-05,0.00017111535319114246,0.00026200098577054687,0.0004564259022386966,143,0,2357,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0035707656400645873,-0.0036428560497543862,-0.00349849427384647,-0.0034549213610506726,-0.006425409597652526,-0.004497890768206761,-0.0034549213610506726,-0.002462066448877833,-0.0010915776281023451,2470,0,30,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
