molecule_id,sample_id,source_type,rotatable_bond_count,has_ring,gate_mean,gate_p50,gate_p90,gate_p95,aligned_rms_displacement,mean_atom_displacement,max_atom_displacement,upstream_bond_violation,refined_bond_violation,delta_bond_violation,upstream_angle_violation,refined_angle_violation,delta_angle_violation,upstream_torsion_circular_error,refined_torsion_circular_error,delta_torsion_circular_error,upstream_ring_invalidity,refined_ring_invalidity,delta_ring_invalidity,upstream_clash_score,refined_clash_score,delta_clash_score,upstream_chirality_error,refined_chirality_error,delta_chirality_error,upstream_aligned_RMSD,refined_aligned_RMSD,delta_aligned_RMSD,delta_internal_error_sum,repair_outcome,subsets
Brc1cccc(OCCSc2ncccn2)c1,val::Brc1cccc(OCCSc2ncccn2)c1__gen0001,upstream_etflow_formal,5,True,0.03212737897410989,0.030442398972809315,0.0354310067370534,0.03645469890907407,0.008391056209802628,0.007631815038621426,0.01563406176865101,0.0128636686131358,0.0102120395749807,-0.0026516290381551014,0.0183289367705583,0.0182871744036674,-4.176236689090035e-05,0.0629857778549194,0.0631654560565948,0.00017967820167538728,0.0150968329980969,0.0111463470384478,-0.0039504859596491,0.0,0.0,0.0,0.0,0.0,0.0,0.5052790641784668,0.5049577951431274,-0.00032126903533935547,-0.006464199163019714,improved,all;rotatable_3_5;ring
Brc1cccc(OCCSc2ncccn2)c1,val::Brc1cccc(OCCSc2ncccn2)c1__gen0000,upstream_etflow_formal,5,True,0.03171641239896417,0.030007808469235897,0.03506010118871927,0.036093798000365496,0.008650281466543674,0.0079357223585248,0.015886159613728523,0.011448391713202,0.0102836266160011,-0.0011647650972009,0.0196197610348463,0.0206826906651258,0.0010629296302794994,0.0989480167627334,0.1006135493516922,0.0016655325889587957,0.0156366024166345,0.0124364988878369,-0.0032001035287976005,0.0,0.0,0.0,0.0,0.0,0.0,1.1979016065597534,1.2001241445541382,0.0022225379943847656,-0.0016364064067602054,improved,all;rotatable_3_5;ring
c1c2c(cc3sc(N4CCOCC4)nc13)OCO2,val::c1c2c(cc3sc(N4CCOCC4)nc13)OCO2__gen0000,upstream_etflow_formal,1,True,0.04195480328053236,0.04067109152674675,0.04514598734676838,0.04598835799843073,0.00822912435978651,0.006874558050185442,0.01826523244380951,0.0163850970566272,0.0120809441432356,-0.0043041529133916005,0.0314824022352695,0.0285653620958328,-0.0029170401394366975,0.0948450565338134,0.0870254039764404,-0.007819652557372991,0.0208715796470642,0.014823424629867,-0.006048155017197198,0.0,0.0,0.0,0.0,0.0,0.0,1.0991544723510742,1.0988181829452517,-0.00033628940582253186,-0.021089000627398487,improved,all;rotatable_le_2;ring
c1c2c(cc3sc(N4CCOCC4)nc13)OCO2,val::c1c2c(cc3sc(N4CCOCC4)nc13)OCO2__gen0001,upstream_etflow_formal,1,True,0.03323273453861475,0.032235076650977135,0.03568096905946731,0.036330385506153105,0.0066271452233195305,0.004712303634732962,0.017536133527755737,0.0139723224565386,0.0102192601189017,-0.003753062337636899,0.0269742719829082,0.02543655782938,-0.0015377141535281996,0.0958040058612823,0.093517817556858,-0.0022861883044242998,0.016597282141447,0.0111195864155888,-0.005477695725858201,0.0,0.0,0.0,0.0,0.0,0.0,1.4718959331512451,1.4732298851013184,0.0013339519500732422,-0.0130546605214476,improved,all;rotatable_le_2;ring
c1cc2cn[nH]c2cc1NC1CCCCCC1,val::c1cc2cn[nH]c2cc1NC1CCCCCC1__gen0001,upstream_etflow_formal,2,True,0.031114016193896532,0.031140010803937912,0.031332196295261384,0.031366842612624166,0.0057830605655908585,0.004783927462995052,0.011636357754468918,0.0116954380646348,0.0111175682395696,-0.0005778698250652001,0.0181576143950223,0.0189813207834959,0.000823706388473601,0.1697451174259185,0.1644337773323059,-0.005311340093612588,0.0138872228562831,0.0138155361637473,-7.168669253579917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.970717191696167,0.9712644815444946,0.0005472898483276367,-0.005137190222739986,improved,all;rotatable_le_2;ring
c1cc2cn[nH]c2cc1NC1CCCCCC1,val::c1cc2cn[nH]c2cc1NC1CCCCCC1__gen0000,upstream_etflow_formal,2,True,0.02784372167661786,0.027867741882801056,0.028036896698176862,0.028071631025522948,0.006419760640710592,0.005451067350804806,0.013669396750628948,0.0105617418885231,0.0105774970725178,1.575518399470066e-05,0.0177847649902105,0.0182833075523376,0.0004985425621271029,0.193969041109085,0.184429258108139,-0.00953978300094599,0.0154799222946167,0.0143718505278229,-0.001108071766793799,0.0,0.0,0.0,0.0,0.0,0.0,1.130308747291565,1.1314681768417358,0.0011594295501708984,-0.010133557021617985,improved,all;rotatable_le_2;ring
c1cc(C(c2nnnn2C2CCCCC2)N2CCN3CCCC3C2)ccn1,val::c1cc(C(c2nnnn2C2CCCCC2)N2CCN3CCCC3C2)ccn1__gen0000,upstream_etflow_formal,4,True,0.03534768894314766,0.03497372567653656,0.03634089604020119,0.03663239628076553,0.006281136069446802,0.0055312467738986015,0.01287791971117258,0.0129063939675688,0.0108970487490296,-0.0020093452185392,0.0208531264215707,0.0220967046916484,0.0012435782700776984,0.0604167133569717,0.0727634131908416,0.012346699833869906,0.0170917827636003,0.0136568499729037,-0.0034349327906966,0.0,0.0,0.0,0.0,0.0,0.0,2.2068357467651367,2.2088634967803955,0.002027750015258789,0.008146000094711805,worsened,all;rotatable_3_5;ring
c1cc(C(c2nnnn2C2CCCCC2)N2CCN3CCCC3C2)ccn1,val::c1cc(C(c2nnnn2C2CCCCC2)N2CCN3CCCC3C2)ccn1__gen0001,upstream_etflow_formal,4,True,0.03807363100349903,0.03767817281186581,0.03915243186056614,0.039467846788465974,0.006030069664120674,0.00497752521187067,0.015089279040694237,0.0125584816560149,0.0109251243993639,-0.001633357256651001,0.025467611849308,0.0268924124538898,0.0014248006045818017,0.0878951996564865,0.0865847617387771,-0.0013104379177093922,0.0159746147692203,0.0121723460033535,-0.0038022687658668,0.0,0.0,0.0,0.0,0.0,0.0,1.6430084705352783,1.643929123878479,0.0009206533432006836,-0.005321263335645391,improved,all;rotatable_3_5;ring
c1ccc2[nH]c(-c3cc[nH+]c4ccccc34)nc2c1,val::c1ccc2[nH]c(-c3cc[nH+]c4ccccc34)nc2c1__gen0001,upstream_etflow_formal,1,True,0.04081694129854441,0.04008072055876255,0.042520371824502946,0.043033714219927785,0.004300733096897602,0.003564924467355013,0.012093075551092625,0.0125226620584726,0.0130389928817749,0.0005163308233023002,0.0205325279384851,0.0210131555795669,0.0004806276410817996,0.1872675418853759,0.1860411167144775,-0.001226425170898382,0.0132802044972777,0.0126242917031049,-0.0006559127941728003,0.0,0.0,0.0,0.0,0.0,0.0,0.1468770653009414,0.1469190269708633,4.1961669921875e-05,-0.0008853795006870824,improved,all;rotatable_le_2;ring
c1ccc2[nH]c(-c3cc[nH+]c4ccccc34)nc2c1,val::c1ccc2[nH]c(-c3cc[nH+]c4ccccc34)nc2c1__gen0000,upstream_etflow_formal,1,True,0.04150368459522724,0.040754638612270355,0.04322982132434845,0.04375116676092148,0.0046022203750908375,0.003636926645413041,0.011337603442370892,0.015088484622538,0.0146823422983288,-0.0004061423242091994,0.0185641553252935,0.0188035145401954,0.00023935921490189985,0.1149914339184761,0.1119036674499511,-0.0030877664685250023,0.0142260054126381,0.0123678101226687,-0.001858195289969401,0.0,0.0,0.0,0.0,0.0,0.0,0.0450418069958686,0.045383084565401,0.00034127756953240135,-0.005112744867801703,improved,all;rotatable_le_2;ring
